Id,SalePrice
1461,123693.429688
1462,158816.046875
1463,181485.671875
1464,190834.3125
1465,193872.859375
1466,172398.328125
1467,171004.671875
1468,170096.84375
1469,184319.71875
1470,126487.148438
1471,203492.5625
1472,94821.953125
1473,103724.203125
1474,149686.1875
1475,128035.171875
1476,389657.375
1477,262329.125
1478,303068.46875
1479,232017.734375
1480,517266.625
1481,324315.78125
1482,199722.03125
1483,174061.625
1484,156026.671875
1485,173102.75
1486,194506.640625
1487,333214.40625
1488,236064.71875
1489,206200.71875
1490,204714.03125
1491,190043.046875
1492,102790.664062
1493,185954.4375
1494,293226.40625
1495,289577.6875
1496,230351.046875
1497,178578.875
1498,160198.125
1499,153735.203125
1500,151685.328125
1501,179716.78125
1502,155376.21875
1503,311785.84375
1504,235459.734375
1505,231727.8125
1506,207372.40625
1507,244322.109375
1508,207114.046875
1509,166148.328125
1510,148029.234375
1511,143215.65625
1512,178517.203125
1513,163191.828125
1514,163956.09375
1515,194567.09375
1516,162997.546875
1517,162857.21875
1518,132615.765625
1519,229473.25
1520,138027.390625
1521,142002.125
1522,168626.375
1523,116453.398438
1524,127207.820312
1525,126413.734375
1526,128023.992188
1527,109570.546875
1528,130774.46875
1529,146745.296875
1530,185319.96875
1531,115815.257812
1532,97094.2578125
1533,149858.65625
1534,117013.773438
1535,157808.34375
1536,104967.984375
1537,66733.7734375
1538,178942.390625
1539,212348.796875
1540,98458.7578125
1541,143145.421875
1542,143200.796875
1543,220104.4375
1544,81533.9765625
1545,108238.945312
1546,126050.664062
1547,145893.140625
1548,132644.34375
1549,115831.507812
1550,143945.046875
1551,106564.601562
1552,143648.359375
1553,149281.328125
1554,116150.289062
1555,179952.25
1556,82811.515625
1557,102673.710938
1558,90902.328125
1559,107674.945312
1560,134991.515625
1561,137791.5
1562,128540.851562
1563,122335.585938
1564,153070.15625
1565,148058.625
1566,228965.90625
1567,83897.1484375
1568,242528.671875
1569,132011.0
1570,132337.65625
1571,123630.289062
1572,149447.3125
1573,237303.015625
1574,95738.7421875
1575,210887.03125
1576,241015.140625
1577,193895.53125
1578,148838.40625
1579,144103.796875
1580,186705.828125
1581,143091.375
1582,125072.867188
1583,324344.875
1584,224529.546875
1585,141106.90625
1586,76851.984375
1587,104725.007812
1588,155567.59375
1589,99646.5703125
1590,131711.765625
1591,103502.46875
1592,114320.046875
1593,126330.242188
1594,147120.703125
1595,103174.515625
1596,243015.015625
1597,191701.125
1598,212024.328125
1599,188376.0625
1600,183353.59375
1601,69516.6328125
1602,113423.328125
1603,83795.9921875
1604,274865.0625
1605,249642.046875
1606,175533.5625
1607,169715.90625
1608,201965.796875
1609,183924.96875
1610,153903.21875
1611,142724.171875
1612,162459.421875
1613,152855.484375
1614,118662.265625
1615,89411.09375
1616,76188.9375
1617,89046.75
1618,124104.125
1619,132858.578125
1620,150387.5
1621,138049.953125
1622,141152.375
1623,291088.0625
1624,221073.234375
1625,123964.53125
1626,174984.4375
1627,192029.015625
1628,279214.84375
1629,184203.34375
1630,349955.34375
1631,226207.53125
1632,246658.21875
1633,164991.484375
1634,185675.25
1635,180303.484375
1636,157936.671875
1637,180968.453125
1638,198247.171875
1639,175732.84375
1640,262427.3125
1641,176910.421875
1642,218630.015625
1643,219848.90625
1644,229597.8125
1645,183882.28125
1646,157532.3125
1647,156550.53125
1648,133755.15625
1649,146795.125
1650,111385.71875
1651,118144.546875
1652,93971.640625
1653,99056.421875
1654,154699.234375
1655,151913.78125
1656,150785.5
1657,153554.046875
1658,145832.609375
1659,141303.109375
1660,149849.8125
1661,490974.71875
1662,400546.3125
1663,377675.59375
1664,493817.25
1665,314991.75
1666,325290.5625
1667,351449.25
1668,334054.875
1669,310328.46875
1670,311839.78125
1671,270398.71875
1672,507574.5
1673,311520.0625
1674,251613.75
1675,191749.328125
1676,189289.171875
1677,214216.09375
1678,476345.59375
1679,397341.5625
1680,332198.84375
1681,262130.96875
1682,312139.40625
1683,176415.4375
1684,165977.109375
1685,174348.375
1686,169269.484375
1687,165587.296875
1688,190990.453125
1689,192168.109375
1690,180828.03125
1691,179052.953125
1692,256774.53125
1693,166153.546875
1694,187533.546875
1695,168829.328125
1696,272648.15625
1697,168520.640625
1698,374937.28125
1699,314437.59375
1700,251248.65625
1701,255526.53125
1702,255129.3125
1703,244941.625
1704,295641.0625
1705,221150.0
1706,502369.0625
1707,227066.296875
1708,201091.234375
1709,278135.25
1710,217927.171875
1711,251857.140625
1712,217159.515625
1713,248158.515625
1714,223057.078125
1715,214870.125
1716,178414.1875
1717,161034.46875
1718,125150.742188
1719,201667.578125
1720,249550.21875
1721,160137.109375
1722,119602.90625
1723,157526.5
1724,201137.671875
1725,240066.796875
1726,186189.375
1727,164660.765625
1728,171097.734375
1729,162775.703125
1730,155851.15625
1731,123224.382812
1732,138235.25
1733,122941.289062
1734,123051.164062
1735,133773.0
1736,118728.0
1737,359408.34375
1738,218963.0
1739,249782.109375
1740,206379.171875
1741,172336.0
1742,173396.578125
1743,178916.015625
1744,282132.5625
1745,226784.625
1746,218369.171875
1747,225202.09375
1748,227897.453125
1749,154221.40625
1750,133932.546875
1751,232010.046875
1752,121749.742188
1753,138435.984375
1754,212010.015625
1755,164852.078125
1756,118965.117188
1757,123356.59375
1758,143370.765625
1759,169424.359375
1760,164836.9375
1761,145074.78125
1762,170041.984375
1763,177436.453125
1764,114652.90625
1765,170317.65625
1766,181588.578125
1767,209875.953125
1768,146755.5
1769,168626.953125
1770,140054.40625
1771,131820.546875
1772,135934.921875
1773,137148.65625
1774,130727.507812
1775,143461.84375
1776,125706.0625
1777,122124.953125
1778,140139.140625
1779,115329.132812
1780,179595.625
1781,131389.8125
1782,86413.1484375
1783,138490.53125
1784,94782.28125
1785,131827.796875
1786,154039.140625
1787,164133.375
1788,50634.4609375
1789,101384.515625
1790,92186.1328125
1791,175703.25
1792,156348.796875
1793,139208.734375
1794,148900.421875
1795,146360.265625
1796,125663.273438
1797,120378.335938
1798,128819.726562
1799,121605.28125
1800,141287.5625
1801,130117.054688
1802,142890.140625
1803,148732.234375
1804,149193.4375
1805,133633.78125
1806,112307.601562
1807,139248.40625
1808,117182.953125
1809,127120.78125
1810,147295.171875
1811,106665.40625
1812,106793.757812
1813,122095.265625
1814,98138.296875
1815,65528.4492188
1816,101313.695312
1817,117609.25
1818,139695.078125
1819,127017.65625
1820,63858.5976562
1821,117317.945312
1822,156948.65625
1823,50708.1679688
1824,135874.328125
1825,142935.015625
1826,104949.21875
1827,108782.140625
1828,134012.3125
1829,110656.078125
1830,146319.296875
1831,147340.96875
1832,95446.359375
1833,153156.96875
1834,118588.796875
1835,146513.578125
1836,121024.296875
1837,90859.1171875
1838,131723.9375
1839,91007.65625
